"HarvardOxford-sub-ONLY_maxprob-thr25-1mm","This is the subcortical only atlas. From FSL software"
"region","label"
1,"Left Cerebral White Matter"
2,"Left Cerebral Cortex "
3,"Left Lateral Ventricle"
4,"Left Thalamus"
5,"Left Caudate"
6,"Left Putamen"
7,"Left Pallidum"
8,"Brain-Stem"
9,"Left Hippocampus"
10,"Left Amygdala"
11,"Left Accumbens"
12,"Right Cerebral White Matter"
13,"Right Cerebral Cortex "
14,"Right Lateral Ventricle"
15,"Right Thalamus"
16,"Right Caudate"
17,"Right Putamen"
18,"Right Pallidum"
19,"Right Hippocampus"
20,"Right Amygdala"
21,"Right Accumbens"
