"Hammersmith_atlas_n30r83_SPM5","http://brain-development.org/brain-atlases/adult-brain-atlases/adult-brain-maximum-probability-map-hammers-mith-atlas-n30r83-in-mni-space/ https://pubmed.ncbi.nlm.nih.gov/12874777/"
"region","label"
1,"Right Hippocampus"
2,"Left Hippocampus"
3,"Right Amygdala"
4,"Left Amygdala"
5,"Right Anterior temporal lobe, medial part"
6,"Left Anterior temporal lobe, medial part"
7,"Right Anterior temporal lobe, lateral part"
8,"Left Anterior temporal lobe, lateral part"
9,"Right Parahippocampal and ambient gyri"
10,"Left Parahippocampal and ambient gyri"
11,"Right Superior temporal gyrus, posterior part"
12,"Left Superior temporal gyrus, posterior part"
13,"Right Middle and inferior temporal gyrus"
14,"Left Middle and inferior temporal gyrus"
15,"Right Fusiform gyrus"
16,"Left Fusiform gyrus"
17,"Right Cerebellum"
18,"Left Cerebellum"
19,"Brainstem"
20,"Left Insula"
21,"Right Insula"
22,"Left Lateral remainder of occipital lobe"
23,"Right Lateral remainder of occipital lobe"
24,"Left Cingulate gyrus (gyrus cinguli), anterior part"
25,"Right Cingulate gyrus (gyrus cinguli), anterior part"
26,"Left Cingulate gyurs (gyrus cinguli), posterior part"
27,"Right Cingulate gyurs (gyrus cinguli), posterior part"
28,"Left Middle frontal gyrus"
29,"Right Middle frontal gyrus"
30,"Left Posterior temporal lobe"
31,"Right Posterior temporal lobe"
32,"Left Inferiolateral remainder of parietal lobe"
33,"Right Inferiolateral remainder of parietal lobe"
34,"Left Caudate nucleus"
35,"Right Caudate nucleus"
36,"Left Nucleus accumbens"
37,"Right Nucleus accumbens"
38,"Left Putamen"
39,"Right Putamen"
40,"Left Thalamus"
41,"Right Thalamus"
42,"Left Pallidum"
43,"Right Pallidum"
44,"Corpus callosum"
45,"Right Lateral ventricle (excluding temporal horn)"
46,"Left Lateral ventricle (excluding temporal horn)"
47,"Right Lateral ventricle, temporal horn"
48,"Left Lateral ventricle, temporal horn"
49,"Right Third ventricle"
50,"Left Precentral gyrus"
51,"Right Precentral gyrus"
52,"Left Straight gyrus"
53,"Right Straight gyrus"
54,"Left Anterior orbital gyrus"
55,"Right Anterior orbital gyrus"
56,"Left Inferior frontal gyrus"
57,"Right Inferior frontal gyrus"
58,"Left Superior frontal gyrus"
59,"Right Superior frontal gyrus"
60,"Left Postcentral gyrus"
61,"Right Postcentral gyrus"
62,"Left Superior parietal gyrus"
63,"Right Superior parietal gyrus"
64,"Left Lingual gyrus"
65,"Right Lingual gyrus"
66,"Left Cuneus"
67,"Right Cuneus"
68,"Left Medial orbital gyrus"
69,"Right Medial orbital gyrus"
70,"Left Lateral orbital gyrus"
71,"Right Lateral orbital gyrus"
72,"Left Posterior orbital gyrus"
73,"Right Posterior orbital gyrus"
74,"Left Substantia nigra"
75,"Right Substantia nigra"
76,"Left Subgenual frontal cortex"
77,"Right Subgenual frontal cortex"
78,"Left Subcallosal area"
79,"Right Subcallosal area"
80,"Left Pre-subgenual frontal cortex"
81,"Right Pre-subgenual frontal cortex"
82,"Left Superior temporal gyrus, anterior part"
83,"Right Superior temporal gyrus, anterior part"
